id,local,age,employed,home_x,home_y,work_start,work_dur,work_part,education_start,education_dur,education_part,leisure_start,leisure_dur,leisure_part,shop_start,shop_dur,shop_part,work_id,work_x,work_y
6326687,Avenches,73,False,2569549,1192185,65,14,0,60,8,0,64,14,0,64,0,0,100455,2532066,1157564
7088769,Avenches,42,True,2569316,1192015,83,35,0,72,23,0,74,6,0,101,3,0,375573,2576954,1202518
6964370,Avenches,39,True,2569280,1191972,42,67,1,118,12,0,52,11,0,98,1,0,39753,2575372,1197197
6458956,Avenches,25,True,2569582,1191885,88,6,1,78,12,0,88,6,0,106,2,0,282729,2570104,1187541
6972203,Avenches,6,False,2570835,1191762,0,0,0,40,21,0,114,11,1,87,2,0,37749,2568320,1196394
6326329,Avenches,92,False,2569712,1191966,84,6,0,59,8,0,90,9,0,48,2,0,455854,2569630,1192120
6682333,Avenches,53,True,2569586,1191756,110,26,1,110,6,0,83,17,1,105,11,1,200254,2577830,1183876
6682327,Avenches,66,False,2569503,1191818,82,6,0,93,8,0,87,6,0,51,0,1,56952,2580914,1188518
6980080,Avenches,49,True,2569965,1192552,50,0,1,72,10,0,75,31,0,76,0,0,81511,2550782,1167950
6459240,Avenches,37,True,2570060,1192635,37,18,0,103,7,0,112,36,0,59,1,0,374136,2528950,1185926
6681946,Avenches,41,True,2569750,1191983,36,2,0,110,12,0,75,7,0,52,6,0,293989,2570342,1194391
6458802,Avenches,70,False,2569357,1189550,65,14,0,59,8,0,92,0,0,94,4,0,358031,2563430,1184055
6458724,Avenches,23,False,2569685,1192500,81,12,0,118,6,0,123,36,0,116,0,0,242831,2688666,1252268
6682599,Avenches,41,False,2570906,1191794,42,56,0,0,0,0,79,14,1,88,0,0,376099,2578968,1183968
6682237,Avenches,11,False,2569352,1191874,0,0,0,50,22,1,42,6,1,90,1,0,374473,2561514,1187205
6326585,Avenches,30,True,2569246,1191476,72,56,1,50,11,0,70,12,0,68,4,0,89848,2575808,1190567
6623060,Avenches,24,True,2569903,1192184,40,27,1,44,29,0,116,4,1,104,9,1,5623,2577916,1182348
6976228,Avenches,15,True,2569971,1192549,0,0,1,82,46,0,65,20,0,100,2,1,362276,2566340,1222197
6682403,Avenches,34,True,2569510,1191874,44,0,1,44,22,0,76,0,0,78,0,0,94067,2602298,1199259
6681738,Avenches,40,True,2570427,1192990,44,38,1,110,12,0,76,4,0,81,1,0,89848,2575808,1190567
7010169,Avenches,79,False,2570291,1192937,84,14,0,58,8,0,87,24,0,96,2,0,39341,2562004,1186149
